out_type,raw
windconf,windconf HIGH
wind10M,wind10M E-ENE 12-16 BACKING NE-NNE 18-22 GUSTS 30
wind50M,wind50M E-ENE 15-20 BACKING NE-NNE 22-28 GUSTS 36
waveSigHeight,waveSigHeight AROUND 2.0 LATER RISING 2.5
waveMaxHeight,waveMaxHeight AROUND 3.0 LATER RISING 4.0
wavePeriod,wavePeriod SEAS: 05-06. SWELL: 09
wind10M,wind10M SW 10-14 EASING 08-12 BY MIDDAY
wind50M,wind50M SW 14-18 EASING 12-15 BY MIDDAY
waveSigHeight,waveSigHeight AROUND 2.0 FALLING 1.0-1.5 BY EVENING
waveMaxHeight,waveMaxHeight AROUND 3.0 FALLING 1.5-2.5 BY EVENING
wavePeriod,wavePeriod SEAS: 05-06. SWELL: 10
wind10M,wind10M NNW 14-18 BACKING NW 16-20 BY LATE EVENING
wind50M,wind50M NNW 18-22 BACKING NW 20-26 BY LATE EVENING
waveSigHeight,waveSigHeight 2.0-2.5 FALLING 1.5-2.0 FOR A TIME
waveMaxHeight,waveMaxHeight 3.0-4.0 FALLING 2.5-3.0 FOR A TIME
wind10M,wind10M SE 06-10 GRADUALLY BACKING ENE 18-22 BY LATE EVENING
wind50M,wind50M SE 10-14 GRADUALLY BACKING ENE 22-28 BY LATE EVENING
waveSigHeight,waveSigHeight AROUND 1.0 RISING NEAR 2.0 BY LATE EVENING
waveMaxHeight,waveMaxHeight AROUND 1.5 RISING NEAR 3.0 BY LATE EVENING
wavePeriod,wavePeriod 05-08
wind10M,"wind10M S-SW 12-18, BACKING S-SE"
wind50M,"wind50M S-SW 15-22, BACKING S-SE"
waveSigHeight,waveSigHeight AROUND 1.5 LATER RISING 1.5-2.0
waveMaxHeight,waveMaxHeight AROUND 2.5 LATER RISING 2.5-3.0
wavePeriod,wavePeriod 5-11
wind10M,wind10M NE 08-12 INCREASING 10-14 BY LATE AFTERNOON
wind50M,wind50M NE 12-15 INCREASING 14-18 BY LATE AFTERNOON
waveSigHeight,waveSigHeight 1.0-1.5 FALLING AROUND 1.0 BY MID AFTERNOON
