text,summary
NE 07 winddir 14 07 windspeed 17 07 gust10m 21 07 gust50m 2.0 07 sigwave 3.2 07 waveperiod NE 07 swelldir 1.6 07 swellheight 9.0 07 swellperiod NE 10 winddir 18 10 windspeed 22 10 gust10m 27 10 gust50m 2.2 10 sigwave 3.5 10 waveperiod NE 10 swelldir 1.7 10 swellheight 9.0 10 swellperiod NE 13 winddir 20 13 windspeed 25 13 gust10m 31 13 gust50m 2.3 13 sigwave 3.7 13 waveperiod NE 13 swelldir 1.8 13 swellheight 9.0 13 swellperiod NE 16 winddir 20 16 windspeed 25 16 gust10m 31 16 gust50m 2.3 16 sigwave 3.7 16 waveperiod NNE 16 swelldir 1.8 16 swellheight 9.0 16 swellperiod NNE 19 winddir 20 19 windspeed 25 19 gust10m 31 19 gust50m 2.3 19 sigwave 3.7 19 waveperiod N 19 swelldir 1.8 19 swellheight 9.0 19 swellperiod NNE 22 winddir 20 22 windspeed 25 22 gust10m 31 22 gust50m 2.4 22 sigwave 3.8 22 waveperiod N 22 swelldir 1.8 22 swellheight 9.0 22 swellperiod,windconf HIGH wind10M E-ENE 12-16 BACKING NE-NNE 18-22 GUSTS 30 wind50M E-ENE 15-20 BACKING NE-NNE 22-28 GUSTS 36 waveconf HIGH waveSigHeight AROUND 2.0 LATER RISING 2.5 waveMaxHeight AROUND 3.0 LATER RISING 4.0 wavePeriod SEAS: 05-06. SWELL: 09
SW 06 winddir 12 06 windspeed 15 06 gust10m 18 06 gust50m 2.0 06 sigwave 3.2 06 waveperiod W 06 swelldir 1.7 06 swellheight 10.0 06 swellperiod SW 09 winddir 12 09 windspeed 15 09 gust10m 18 09 gust50m 1.8 09 sigwave 2.8 09 waveperiod W 09 swelldir 1.6 09 swellheight 10.0 09 swellperiod SW 12 winddir 10 12 windspeed 12 12 gust10m 15 12 gust50m 1.6 12 sigwave 2.5 12 waveperiod WNW 12 swelldir 1.4 12 swellheight 10.0 12 swellperiod SW 15 winddir 9 15 windspeed 11 15 gust10m 14 15 gust50m 1.5 15 sigwave 2.4 15 waveperiod WNW 15 swelldir 1.3 15 swellheight 10.0 15 swellperiod SW 18 winddir 9 18 windspeed 11 18 gust10m 14 18 gust50m 1.4 18 sigwave 2.2 18 waveperiod WNW 18 swelldir 1.2 18 swellheight 10.0 18 swellperiod SW 21 winddir 9 21 windspeed 11 21 gust10m 14 21 gust50m 1.3 21 sigwave 2.0 21 waveperiod NW 21 swelldir 1.1 21 swellheight 10.0 21 swellperiod,windconf HIGH wind10M SW 10-14 EASING 08-12 BY MIDDAY wind50M SW 14-18 EASING 12-15 BY MIDDAY waveconf HIGH waveSigHeight AROUND 2.0 FALLING 1.0-1.5 BY EVENING waveMaxHeight AROUND 3.0 FALLING 1.5-2.5 BY EVENING wavePeriod SEAS: 05-06. SWELL: 10
NNW 06 winddir 16 06 windspeed 20 06 gust10m 25 06 gust50m 2.1 06 sigwave 3.3 06 waveperiod NNE 06 swelldir 1.6 06 swellheight 9.0 06 swellperiod NNW 09 winddir 16 09 windspeed 20 09 gust10m 25 09 gust50m 2.1 09 sigwave 3.4 09 waveperiod N 09 swelldir 1.6 09 swellheight 9.0 09 swellperiod NNW 12 winddir 16 12 windspeed 20 12 gust10m 25 12 gust50m 2.0 12 sigwave 3.2 12 waveperiod N 12 swelldir 1.6 12 swellheight 9.0 12 swellperiod NW 15 winddir 14 15 windspeed 17 15 gust10m 21 15 gust50m 1.9 15 sigwave 3.0 15 waveperiod NNW 15 swelldir 1.6 15 swellheight 9.0 15 swellperiod NW 18 winddir 12 18 windspeed 15 18 gust10m 18 18 gust50m 1.8 18 sigwave 2.9 18 waveperiod NW 18 swelldir 1.6 18 swellheight 9.0 18 swellperiod NW 21 winddir 16 21 windspeed 20 21 gust10m 25 21 gust50m 1.8 21 sigwave 2.9 21 waveperiod NW 21 swelldir 1.6 21 swellheight 9.0 21 swellperiod,windconf HIGH wind10M NNW 14-18 BACKING NW 16-20 BY LATE EVENING wind50M NNW 18-22 BACKING NW 20-26 BY LATE EVENING waveconf HIGH waveSigHeight 2.0-2.5 FALLING 1.5-2.0 FOR A TIME waveMaxHeight 3.0-4.0 FALLING 2.5-3.0 FOR A TIME wavePeriod SEAS: 05-06. SWELL: 09
SE 07 winddir 8 07 windspeed 10 07 gust10m 12 07 gust50m 0.9 07 sigwave 1.4 07 waveperiod WNW 07 swelldir 0.9 07 swellheight 8.0 07 swellperiod SE 10 winddir 10 10 windspeed 12 10 gust10m 15 10 gust50m 1.0 10 sigwave 1.6 10 waveperiod NW 10 swelldir 0.9 10 swellheight 8.0 10 swellperiod ESE 13 winddir 12 13 windspeed 15 13 gust10m 18 13 gust50m 1.1 13 sigwave 1.8 13 waveperiod NW 13 swelldir 0.9 13 swellheight 8.0 13 swellperiod E 16 winddir 14 16 windspeed 17 16 gust10m 21 16 gust50m 1.3 16 sigwave 2.1 16 waveperiod NNW 16 swelldir 0.9 16 swellheight 8.0 16 swellperiod E 19 winddir 16 19 windspeed 20 19 gust10m 24 19 gust50m 1.5 19 sigwave 2.4 19 waveperiod N 19 swelldir 0.9 19 swellheight 8.0 19 swellperiod ENE 22 winddir 18 22 windspeed 22 22 gust10m 28 22 gust50m 1.7 22 sigwave 2.7 22 waveperiod CON 22 swelldir 0.8 22 swellheight nan 22 swellperiod,windconf HIGH wind10M SE 06-10 GRADUALLY BACKING ENE 18-22 BY LATE EVENING wind50M SE 10-14 GRADUALLY BACKING ENE 22-28 BY LATE EVENING waveconf HIGH waveSigHeight AROUND 1.0 RISING NEAR 2.0 BY LATE EVENING waveMaxHeight AROUND 1.5 RISING NEAR 3.0 BY LATE EVENING wavePeriod 05-08
S 06 winddir 13 06 windspeed 16 06 gust10m 20 06 gust50m 1.5 06 sigwave 2.4 06 waveperiod W 06 swelldir 1.1 06 swellheight 11.0 06 swellperiod SSW 09 winddir 13 09 windspeed 16 09 gust10m 20 09 gust50m 1.5 09 sigwave 2.4 09 waveperiod WNW 09 swelldir 1.1 09 swellheight 11.0 09 swellperiod SW 12 winddir 13 12 windspeed 16 12 gust10m 20 12 gust50m 1.6 12 sigwave 2.6 12 waveperiod WNW 12 swelldir 1.1 12 swellheight 10.0 12 swellperiod SW 15 winddir 13 15 windspeed 16 15 gust10m 20 15 gust50m 1.6 15 sigwave 2.6 15 waveperiod WNW 15 swelldir 1.2 15 swellheight 10.0 15 swellperiod SSW 18 winddir 12 18 windspeed 15 18 gust10m 18 18 gust50m 1.4 18 sigwave 2.2 18 waveperiod WNW 18 swelldir 1.3 18 swellheight 10.0 18 swellperiod S 21 winddir 12 21 windspeed 15 21 gust10m 18 21 gust50m 1.5 21 sigwave 2.4 21 waveperiod WNW 21 swelldir 1.3 21 swellheight 10.0 21 swellperiod,"wind10M S-SW 12-18, BACKING S-SE wind50M S-SW 15-22, BACKING S-SE waveSigHeight AROUND 1.5 LATER RISING 1.5-2.0 waveMaxHeight AROUND 2.5 LATER RISING 2.5-3.0 wavePeriod 5-11"
NE 07 winddir 9 07 windspeed 11 07 gust10m 14 07 gust50m 1.2 07 sigwave 1.9 07 waveperiod WSW 07 swelldir 1.1 07 swellheight 9.0 07 swellperiod NE 10 winddir 10 10 windspeed 12 10 gust10m 15 10 gust50m 1.2 10 sigwave 1.9 10 waveperiod WSW 10 swelldir 1.0 10 swellheight 9.0 10 swellperiod NE 13 winddir 10 13 windspeed 12 13 gust10m 15 13 gust50m 1.1 13 sigwave 1.8 13 waveperiod WSW 13 swelldir 0.9 13 swellheight 9.0 13 swellperiod NE 16 winddir 10 16 windspeed 12 16 gust10m 15 16 gust50m 1.0 16 sigwave 1.6 16 waveperiod WSW 16 swelldir 0.8 16 swellheight 9.0 16 swellperiod NE 19 winddir 12 19 windspeed 15 19 gust10m 18 19 gust50m 1.1 19 sigwave 1.8 19 waveperiod WSW 19 swelldir 0.7 19 swellheight 9.0 19 swellperiod NE 22 winddir 12 22 windspeed 15 22 gust10m 18 22 gust50m 1.0 22 sigwave 1.6 22 waveperiod WSW 22 swelldir 0.7 22 swellheight 9.0 22 swellperiod,windconf HIGH wind10M NE 08-12 INCREASING 10-14 BY LATE AFTERNOON wind50M NE 12-15 INCREASING 14-18 BY LATE AFTERNOON waveconf HIGH waveSigHeight 1.0-1.5 FALLING AROUND 1.0 BY MID AFTERNOON waveMaxHeight 1.5-2.5 FALLING AROUND 1.5 BY MID AFTERNOON wavePeriod SEAS: 03-05. SWELL: 09
NNW 06 winddir 8 06 windspeed 10 06 gust10m 12 06 gust50m 1.8 06 sigwave 2.8 06 waveperiod N 06 swelldir 1.5 06 swellheight 8.0 06 swellperiod NNW 09 winddir 8 09 windspeed 10 09 gust10m 12 09 gust50m 1.7 09 sigwave 2.7 09 waveperiod N 09 swelldir 1.5 09 swellheight 8.0 09 swellperiod NNW 12 winddir 8 12 windspeed 10 12 gust10m 12 12 gust50m 1.7 12 sigwave 2.7 12 waveperiod N 12 swelldir 1.5 12 swellheight 8.0 12 swellperiod NNW 15 winddir 6 15 windspeed 7 15 gust10m 9 15 gust50m 1.7 15 sigwave 2.7 15 waveperiod N 15 swelldir 1.5 15 swellheight 8.0 15 swellperiod NNW 18 winddir 4 18 windspeed 5 18 gust10m 6 18 gust50m 1.6 18 sigwave 2.5 18 waveperiod N 18 swelldir 1.4 18 swellheight 8.0 18 swellperiod ENE 21 winddir 2 21 windspeed 2 21 gust10m 3 21 gust50m 1.6 21 sigwave 2.5 21 waveperiod N 21 swelldir 1.4 21 swellheight 8.0 21 swellperiod,windconf HIGH wind10M NNW 06-10 GRADUALLY VEERING E 02-06 BY EVENING wind50M NNW 10-14 GRADUALLY VEERING E 04-08 BY EVENING waveconf HIGH waveSigHeight 1.5-2.0 LATER FALLING 1.5 waveMaxHeight 2.5-3.0 LATER FALLING 2.5 wavePeriod 05-08
WSW 06 winddir 28 06 windspeed 35 06 gust10m 43 06 gust50m 3.6 06 sigwave 5.8 06 waveperiod W 06 swelldir 2.5 06 swellheight 13.0 06 swellperiod WSW 09 winddir 30 09 windspeed 37 09 gust10m 46 09 gust50m 4.0 09 sigwave 6.4 09 waveperiod W 09 swelldir 3.0 09 swellheight 13.0 09 swellperiod WSW 12 winddir 32 12 windspeed 40 12 gust10m 50 12 gust50m 4.5 12 sigwave 7.2 12 waveperiod W 12 swelldir 3.2 12 swellheight 13.0 12 swellperiod WSW 15 winddir 34 15 windspeed 42 15 gust10m 52 15 gust50m 5.2 15 sigwave 8.3 15 waveperiod W 15 swelldir 3.5 15 swellheight 14.0 15 swellperiod WSW 18 winddir 36 18 windspeed 45 18 gust10m 56 18 gust50m 6.0 18 sigwave 9.6 18 waveperiod W 18 swelldir 4.0 18 swellheight 14.0 18 swellperiod W 21 winddir 40 21 windspeed 50 21 gust10m 62 21 gust50m 6.8 21 sigwave 10.8 21 waveperiod W 21 swelldir 4.5 21 swellheight 14.0 21 swellperiod,windconf HIGH wind10M WSW 28-32 GUSTS 40 VEERING W'LY 40-45 GUSTS 60 BY EVENING wind50M WSW 35-40 GUSTS 50 VEERING W'LY 50-55 GUSTS 70 BY EVENING waveconf HIGH waveSigHeight 3.5-4.0 RISING 7.0-8.0 BY LATE EVENING waveMaxHeight 5.5-6.5 RISING 11.0-13.0 BY LATE EVENING wavePeriod SEAS: 05-06. SWELL: 13-14
ESE 07 winddir 16 07 windspeed 20 07 gust10m 24 07 gust50m 2.5 07 sigwave 4.0 07 waveperiod WSW 07 swelldir 2.2 07 swellheight 11.0 07 swellperiod ESE 10 winddir 18 10 windspeed 22 10 gust10m 28 10 gust50m 2.6 10 sigwave 4.2 10 waveperiod WSW 10 swelldir 2.2 10 swellheight 11.0 10 swellperiod ESE 13 winddir 21 13 windspeed 26 13 gust10m 32 13 gust50m 2.8 13 sigwave 4.5 13 waveperiod CON 13 swelldir 2.2 13 swellheight nan 13 swellperiod ESE 16 winddir 21 16 windspeed 26 16 gust10m 32 16 gust50m 3.0 16 sigwave 4.8 16 waveperiod CON 16 swelldir 2.2 16 swellheight nan 16 swellperiod E 19 winddir 17 19 windspeed 21 19 gust10m 26 19 gust50m 3.0 19 sigwave 4.8 19 waveperiod SE 19 swelldir 2.5 19 swellheight 9.0 19 swellperiod E 22 winddir 23 22 windspeed 28 22 gust10m 35 22 gust50m 3.4 22 sigwave 5.4 22 waveperiod SE 22 swelldir 2.6 22 swellheight 10.0 22 swellperiod,windconf HIGH wind10M ESE 14-18 GRADUALLY INCREASING E'LY 26-30 GUSTS 40 BY MIDNIGHT wind50M ESE 17-22 GRADUALLY INCREASING E'LY 32-38 GUSTS 48 BY MIDNIGHT waveconf HIGH waveSigHeight AROUND 2.0 RISING 4.0 BY MIDNIGHT waveMaxHeight AROUND 3.0 RISING 6.5 BY MIDNIGHT wavePeriod SEA: 4-5 RISING 6-7 SWELL: 9-11
SSW 07 winddir 25 07 windspeed 30 07 gust10m 34 07 gust50m 2.1 07 sigwave 3.4 07 waveperiod SSE 07 swelldir 1.4 07 swellheight 8.0 07 swellperiod WSW 10 winddir 25 10 windspeed 30 10 gust10m 37 10 gust50m 2.0 10 sigwave 3.2 10 waveperiod S 10 swelldir 1.0 10 swellheight 8.0 10 swellperiod W 13 winddir 27 13 windspeed 33 13 gust10m 42 13 gust50m 2.5 13 sigwave 4.0 13 waveperiod CON 13 swelldir 0.4 13 swellheight nan 13 swellperiod W 16 winddir 23 16 windspeed 28 16 gust10m 35 16 gust50m 2.8 16 sigwave 4.2 16 waveperiod CON 16 swelldir 0.1 16 swellheight nan 16 swellperiod W 19 winddir 23 19 windspeed 28 19 gust10m 35 19 gust50m 3.0 19 sigwave 4.5 19 waveperiod CON 19 swelldir 0.2 19 swellheight nan 19 swellperiod W 22 winddir 22 22 windspeed 27 22 gust10m 34 22 gust50m 3.2 22 sigwave 4.5 22 waveperiod CON 22 swelldir 0.4 22 swellheight nan 22 swellperiod,"wind10M SW-S 25-30 SOON VEERING SW-W, EASING GRADUALLY 18-22 wind50M SW-S 30-38 SOON VEERING SW-W, EASING GRADUALLY 22-28 waveSigHeight 2.0-2.5 RISING 3.0-3.5 FOR A TIME, FALLING 2.5-3.0 waveMaxHeight 3.0-4.0 RISING 5.0-5.5 FOR A TIME, FALLING 4.0-5.0 wavePeriod 5-10"
